Name,Action,Protocol,Src-Address,Src-Port,Dst-Address,Dst-Port
acl_Permit_TCP_170.70.49.191_5,permit,tcp,172.17.87.0/24,170.70.49.191/32,9400,any
acl_Permit_TCP_170.70.49.191_6,permit,tcp,172.17.87.0/24,170.70.49.191/32,59113,any
acl_Permit_TCP_170.70.49.191_7,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,80
acl_Permit_TCP_170.70.49.191_8,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,443
acl_Permit_TCP_170.70.49.191_9,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,389
acl_Permit_TCP_170.70.49.191_10,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,636
acl_Permit_TCP_170.70.49.191_11,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,1443
acl_Permit_TCP_170.70.49.191_12,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,2000
acl_Permit_TCP_170.70.49.191_13,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,any
acl_Permit_TCP_170.70.49.191_14,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,9100
acl_Permit_TCP_170.70.49.191_15,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,any
acl_Permit_TCP_172.17.90.0,permit,tcp,172.17.87.0/24,170.70.49.191/32,any,65211
acl_Permit_UDP_170.70.49.191_1,permit,udp,172.17.87.0/24,170.70.49.191/32,162,any
acl_Permit_UDP_170.70.49.191_2,permit,udp,172.17.87.0/24,170.70.49.191/32,445,any
acl_Permit_UDP_170.70.49.191_3,permit,udp,172.17.87.0/24,170.70.49.191/32,1434,any
acl_Permit_UDP_170.70.49.191_4,permit,udp,172.17.87.0/24,170.70.49.191/32,2493,any
acl_Permit_UDP_170.70.49.191_5,permit,udp,172.17.87.0/24,170.70.49.191/32,3702,any
acl_Permit_UDP_170.70.49.191_6,permit,udp,172.17.87.0/24,170.70.49.191/32,8000,any
acl_Permit_UDP_170.70.49.191_7,permit,udp,172.17.87.0/24,170.70.49.191/32,any,69
acl_Permit_UDP_170.70.49.191_8,permit,udp,172.17.87.0/24,170.70.49.191/32,any,427
acl_Permit_UDP_170.70.49.191_9,permit,udp,172.17.87.0/24,170.70.49.191/32,any,2493
acl_Permit_UDP_170.70.49.191_10,permit,udp,172.17.87.0/24,170.70.49.191/32,any,any
acl_Permit_TCP_170.70.13.30_10,permit,tcp,172.17.87.0/24,170.70.13.30/32,any,389
acl_Permit_TCP_170.70.13.134_1,permit,tcp,172.17.87.0/24,170.70.13.134/32,843,any
acl_Permit_TCP_170.70.13.134_2,permit,tcp,172.17.87.0/24,170.70.13.134/32,3910,any
acl_Permit_TCP_170.70.13.134_3,permit,tcp,172.17.87.0/24,170.70.13.134/32,7627,any
acl_Permit_TCP_170.70.13.134_4,permit,tcp,172.17.87.0/24,170.70.13.134/32,9100,any
acl_Permit_TCP_170.70.13.134_5,permit,tcp,172.17.87.0/24,170.70.13.134/32,9400,any
